,word,max_tag,appearances
133,three,CD,558
134,out,RP,968
135,there,EX,680
136,We,PRP,538
137,what,WP,562
138,program,NN,535
139,through,IN,557
140,yesterday,NN,536
141,major,JJ,530
142,under,IN,527
143,industry,NN,524
144,just,RB,530
145,stocks,NNS,519
146,And,CC,518
147,say,VBP,700
148,make,VB,591
149,investment,NN,502
150,money,NN,500
151,month,NN,500
152,rate,NN,497
153,so,RB,611
154,unit,NN,494
155,next,JJ,576
156,does,VBZ,491
157,days,NNS,489
158,those,DT,484
159,federal,JJ,483
160,state,NN,486
161,officials,NNS,479
162,against,IN,463
163,between,IN,458
164,rates,NNS,452
165,recent,JJ,448
166,They,PRP,448
167,still,RB,446
168,For,IN,441
169,since,IN,447
170,financial,JJ,438
171,while,IN,467
172,Exchange,NNP,436
173,big,JJ,431
174,she,PRP,431
175,Japan,NNP,430
176,chairman,NN,429
177,before,IN,484
178,income,NN,428
179,these,DT,425
180,expected,VBN,500
181,funds,NNS,424
182,Japanese,JJ,511
183,plan,NN,466
184,issue,NN,452
185,debt,NN,412
186,part,NN,408
187,should,MD,405
188,including,VBG,403
189,bank,NN,403
190,products,NNS,401
191,analysts,NNS,400
192,well,RB,411
193,securities,NNS,398
194,That,DT,433
195,profit,NN,412
196,firm,NN,429
197,fell,VBD,393
198,being,VBG,401
199,most,JJS,765
200,This,DT,384
201,sell,VB,449
202,If,IN,382
203,net,JJ,513
204,buy,VB,457
205,like,IN,472
206,own,JJ,439
207,get,VB,438
208,House,NNP,374
209,operations,NNS,371
210,way,NN,374
211,tax,NN,369
212,?,.,365
213,sale,NN,362
214,during,IN,359
215,growth,NN,358
216,higher,JJR,405
217,each,DT,355
218,markets,NNS,362
219,take,VB,391
220,much,JJ,642
221,Bank,NNP,351
222,common,JJ,362
223,loss,NN,347
224,American,NNP,575
225,where,WRB,346
226,how,WRB,345
227,another,DT,344
228,banks,NNS,344
229,economic,JJ,343
230,five,CD,339
231,few,JJ,339
232,vice,NN,343
233,cash,NN,343
234,our,PRP$,336
235,very,RB,355
236,executive,NN,514
237,Bush,NNP,334
238,'re,VBP,331
239,several,JJ,330
240,both,DT,361
241,issues,NNS,332
242,might,MD,331
243,current,JJ,333
244,good,JJ,338
245,index,NN,323
246,earlier,RBR,532
247,down,RB,660
248,Friday,NNP,318
249,Congress,NNP,317
250,At,IN,317
251,then,RB,316
252,ago,RB,436
253,made,VBN,529
254,costs,NNS,338
255,As,IN,332
256,number,NN,311
257,director,NN,309
258,spokesman,NN,309
259,September,NNP,309
260,her,PRP$,414
261,day,NN,308
262,case,NN,308
263,National,NNP,313
264,too,RB,307
265,least,JJS,316
266,foreign,JJ,307
267,concern,NN,307
268,according,VBG,306
269,bid,NN,351
270,Stock,NNP,321
271,stake,NN,306
272,high,JJ,340
273,California,NNP,305
274,assets,NNS,304
275,due,JJ,332
276,Some,DT,306
277,Oct.,NNP,300
278,end,NN,369
279,board,NN,297
280,same,JJ,297
281,law,NN,297
282,contract,NN,298
283,far,RB,300
284,officer,NN,293
285,There,EX,297
286,based,VBN,294
287,revenue,NN,292
288,offer,NN,413
289,small,JJ,292
290,going,VBG,294
291,Treasury,NNP,299
292,already,RB,291
293,bill,NN,291
294,lower,JJR,366
295,third,JJ,295
296,among,IN,287
297,past,JJ,386
298,value,NN,284
299,chief,JJ,510
300,court,NN,284
301,off,RP,479
302,system,NN,283
303,pay,VB,359
304,oil,NN,282
305,him,PRP,281
306,economy,NN,280
307,real,JJ,286
308,insurance,NN,280
309,International,NNP,283
310,futures,NNS,277
311,agency,NN,276
312,exchange,NN,289
313,agreement,NN,275
314,reported,VBD,374
315,back,RB,420
316,period,NN,270
317,Board,NNP,270
318,firms,NNS,267
319,San,NNP,267
320,added,VBD,320
321,computer,NN,266
322,traders,NNS,266
323,1\/2,CD,265
324,world,NN,265
325,until,IN,262
326,One,CD,278
327,office,NN,261
328,closed,VBD,322
329,trade,NN,300
330,problems,NNS,259
331,former,JJ,258
332,capital,NN,265
333,production,NN,257
334,used,VBN,336
335,work,NN,384
336,six,CD,256
337,Federal,NNP,267
338,Wall,NNP,256
339,Street,NNP,259
340,maker,NN,254
341,four,CD,254
342,results,NNS,260
343,management,NN,253
344,country,NN,253
345,policy,NN,252
346,analyst,NN,251
347,sold,VBN,363
348,large,JJ,248
349,compared,VBN,254
350,bond,NN,248
351,dollar,NN,248
352,President,NNP,247
353,without,IN,246
354,Group,NNP,246
355,loans,NNS,246
356,political,JJ,244
357,losses,NNS,244
358,whether,IN,251
359,corporate,JJ,243
360,recently,RB,242
361,Department,NNP,244
362,UAL,NNP,238
363,largest,JJS,237
364,today,NN,236
365,John,NNP,236
366,must,MD,236
367,wo,MD,236
368,Nov.,NNP,237
369,second,JJ,250
370,however,RB,231
371,problem,NN,229
372,home,NN,238
373,businesses,NNS,228
374,public,JJ,305
375,weeks,NNS,226
376,credit,NN,225
377,When,WRB,224
378,point,NN,245
379,First,NNP,272
380,plant,NN,227
381,strong,JJ,224
382,help,VB,288
383,points,NNS,239
384,takeover,NN,222
385,3\/4,CD,222
386,fund,NN,240
387,expects,VBZ,221
388,report,NN,307
389,orders,NNS,220
390,London,NNP,222
391,services,NNS,220
392,certain,JJ,218
393,fiscal,JJ,222
394,early,JJ,314
395,here,RB,217
396,earthquake,NN,217
397,likely,JJ,262
398,research,NN,218
399,increase,NN,337
400,Jones,NNP,216
401,August,NNP,215
402,news,NN,215
403,my,PRP$,215
404,junk,NN,217
405,old,JJ,213
406,took,VBD,211
407,senior,JJ,213
408,On,IN,211
409,power,NN,211
410,making,VBG,225
411,priced,VBN,213
412,declined,VBD,226
413,employees,NNS,210
414,Inc,NNP,210
415,Dow,NNP,210
416,Francisco,NNP,209
417,yield,VB,359
418,general,JJ,245
419,nearly,RB,207
420,late,JJ,281
421,example,NN,205
422,go,VB,245
423,annual,JJ,205
424,Ms.,NNP,205
425,Monday,NNP,204
426,members,NNS,204
427,Chicago,NNP,204
428,Texas,NNP,203
429,plans,NNS,362
430,third-quarter,JJ,243
431,Ford,NNP,203
432,possible,JJ,205
433,less,JJR,348
434,notes,NNS,246
435,yen,NNS,361
436,Senate,NNP,200
437,Tuesday,NNP,199
438,-RCB-,-RRB-,199
439,While,IN,198
440,level,NN,204
441,little,JJ,264
442,workers,NNS,197
443,October,NNP,197
444,addition,NN,197
445,continue,VB,251
446,agreed,VBD,280
447,-LCB-,-LRB-,196
448,Robert,NNP,195
449,product,NN,195
450,Big,NNP,220
451,often,RB,195
452,proposal,NN,195
453,British,JJ,308
454,city,NN,193
455,latest,JJS,192
456,nation,NN,192
457,General,NNP,198
458,almost,RB,191
459,executives,NNS,191
460,see,VB,253
461,volume,NN,191
462,paper,NN,190
463,Washington,NNP,190
464,demand,NN,217
465,life,NN,190
466,cost,NN,262
467,administration,NN,189
468,decision,NN,188
469,move,NN,289
470,outstanding,JJ,187
471,give,VB,222
472,offering,NN,260
473,nine,CD,186
474,changes,NNS,195
475,Europe,NNP,186
476,line,NN,189
477,America,NNP,186
478,though,IN,235
479,amount,NN,190
480,national,JJ,185
481,others,NNS,185
482,position,NN,188
483,...,:,184
484,customers,NNS,184
485,think,VBP,296
486,area,NN,183
487,acquisition,NN,183
488,Ltd.,NNP,183
489,transaction,NN,183
490,makes,VBZ,187
491,average,JJ,336
492,currently,RB,182
493,meeting,NN,203
494,record,NN,221
495,came,VBD,182
496,began,VBD,181
497,result,NN,229
498,us,PRP,180
499,trying,VBG,180
500,able,JJ,179
501,James,NNP,178
502,order,NN,182
503,times,NNS,182
504,estate,NN,177
505,again,RB,176
506,Warner,NNP,176
507,control,NN,211
508,West,NNP,249
509,composite,JJ,195
510,Union,NNP,175
511,division,NN,173
512,previous,JJ,172
513,your,PRP$,172
514,investor,NN,171
515,use,NN,351
516,every,DT,170
517,important,JJ,170
518,ca,MD,170
519,want,VBP,269
520,programs,NNS,169
521,rights,NNS,168
522,gain,NN,209
523,'ve,VBP,170
524,named,VBN,188
525,service,NN,175
526,China,NNP,167
527,private,JJ,167
528,information,NN,166
529,decline,NN,198
530,whose,WP$,166
531,shareholders,NNS,165
532,Corp,NNP,165
533,South,NNP,192
534,local,JJ,165
535,inflation,NN,165
536,lot,NN,171
537,never,RB,165
538,deal,NN,195
539,managers,NNS,164
540,around,IN,245
541,additional,JJ,164
542,action,NN,164
543,dollars,NNS,164
544,Tokyo,NNP,164
545,Association,NNP,166
546,units,NNS,163
547,Co,NNP,163
548,manager,NN,162
549,yet,RB,172
550,charge,NN,188
551,things,NNS,162
552,Capital,NNP,169
553,within,IN,162
554,July,NNP,161
555,ended,VBD,282
556,Mrs.,NNP,161
557,computers,NNS,161
558,suit,NN,165
559,June,NNP,160
560,car,NN,160
561,drop,NN,203
562,via,IN,159
563,gains,NNS,163
564,United,NNP,160
565,construction,NN,158
566,development,NN,158
567,terms,NNS,158
568,consumer,NN,157
569,Sept.,NNP,157
570,1\/4,CD,156
571,Los,NNP,156
572,March,NNP,155
573,IBM,NNP,155
574,commercial,JJ,173
575,auto,NN,154
576,What,WP,154
577,buying,VBG,246
578,contracts,NNS,156
579,gas,NN,154
580,taken,VBN,154
581,support,NN,223
582,buy-out,NN,165
583,keep,VB,162
584,Fed,NNP,153
585,Boston,NNP,152
586,full,JJ,154
587,Now,RB,152
588,getting,VBG,152
589,Jaguar,NNP,154
590,fact,NN,151
591,Last,JJ,151
592,You,PRP,151
593,dropped,VBD,171
594,announced,VBD,233
595,equipment,NN,150
596,family,NN,150
597,selling,VBG,234
598,To,TO,150
599,probably,RB,149
600,With,IN,149
601,bills,NNS,148
602,official,NN,218
603,subsidiary,NN,150
604,effort,NN,148
605,held,VBN,226
606,holders,NNS,147
607,itself,PRP,147
608,charges,NNS,164
609,provide,VB,171
610,D.,NNP,146
611,equity,NN,146
612,purchase,NN,200
613,These,DT,146
614,cases,NNS,146
615,dividend,NN,146
616,David,NNP,145
617,available,JJ,145
618,low,JJ,162
619,effect,NN,145
620,special,JJ,147
621,international,JJ,144
622,called,VBN,260
623,total,JJ,248
624,drug,NN,144
625,Air,NNP,149
626,come,VB,228
627,legal,JJ,143
628,change,NN,227
629,below,IN,156
630,technology,NN,142
631,White,NNP,145
632,statement,NN,142
633,Pacific,NNP,145
634,After,IN,143
635,cars,NNS,141
636,spending,NN,185
637,Sales,NNS,141
638,Securities,NNPS,252
639,using,VBG,140
640,Although,IN,140
641,holding,VBG,171
642,raise,VB,161
643,operating,VBG,270
644,personal,JJ,142
645,budget,NN,140
646,Under,IN,139
647,department,NN,139
648,However,RB,141
649,return,NN,198
650,Commission,NNP,141
651,efforts,NNS,139
652,reduce,VB,141
653,half,NN,249
654,told,VBD,173
655,loan,NN,139
656,City,NNP,144
657,Chairman,NNP,141
658,risk,NN,150
659,got,VBD,165
660,rather,RB,137
661,payments,NNS,137
662,health,NN,137
663,University,NNP,136
664,ad,NN,136
665,best,JJS,165
666,defense,NN,136
667,East,NNP,173
668,By,IN,135
669,approval,NN,135
670,paid,VBN,198
671,An,DT,135
672,Soviet,JJ,246
673,biggest,JJS,135
674,later,RB,191
675,once,RB,162
676,portfolio,NN,134
677,soon,RB,134
678,job,NN,134
679,team,NN,136
680,long,JJ,255
681,domestic,JJ,133
682,similar,JJ,133
683,above,IN,150
684,top,JJ,188
685,noted,VBD,148
686,restructuring,NN,155
687,clients,NNS,132
688,claims,NNS,169
689,place,NN,149
690,marketing,NN,157
691,saying,VBG,134
692,Many,JJ,133
693,5\/8,CD,131
694,Angeles,NNP,131
695,looking,VBG,130
696,groups,NNS,130
697,long-term,JJ,130
698,levels,NNS,130
699,committee,NN,130
700,known,VBN,138
701,Germany,NNP,130
702,profits,NNS,130
703,makers,NNS,129
704,figures,NNS,145
705,advertising,NN,148
706,financing,NN,160
707,building,NN,189
708,lawyers,NNS,129
709,Britain,NNP,129
710,union,NN,129
711,countries,NNS,128
712,proposed,VBN,202
713,went,VBD,128
714,airline,NN,128
715,Hong,NNP,127
716,Michael,NNP,127
717,European,JJ,176
718,talks,NNS,133
719,Columbia,NNP,127
720,#,#,127
721,different,JJ,126
722,interests,NNS,126
723,directors,NNS,126
724,judge,NN,134
725,me,PRP,126
726,network,NN,126
727,industrial,JJ,125
728,investments,NNS,125
729,William,NNP,125
730,potential,JJ,156
731,although,IN,125
732,Canada,NNP,125
733,wants,VBZ,125
734,despite,IN,125
735,'m,VBP,125
736,something,NN,125
737,damage,NN,128
738,know,VB,211
739,states,NNS,133
740,strategy,NN,125
741,doing,VBG,124
742,parent,NN,131
743,options,NNS,124
744,Court,NNP,126
745,goods,NNS,123
746,given,VBN,123
747,slightly,RB,123
748,percentage,NN,122
749,particularly,RB,122
750,systems,NNS,122
751,food,NN,122
752,performance,NN,122
753,head,NN,146
754,away,RB,162
755,include,VBP,186
756,toward,IN,121
757,banking,NN,133
758,Drexel,NNP,121
759,having,VBG,120
760,huge,JJ,120
761,expect,VBP,191
762,seeking,VBG,120
763,television,NN,120
764,increased,VBN,255
765,role,NN,120
766,Kong,NNP,120
767,find,VB,150
768,really,RB,120
769,Even,RB,122
770,become,VB,223
771,leaders,NNS,120
772,further,JJ,232
773,World,NNP,124
774,growing,VBG,125
775,themselves,PRP,119
776,legislation,NN,119
777,Committee,NNP,119
778,following,VBG,154
779,plants,NNS,119
780,GM,NNP,119
781,previously,RB,118
782,Richard,NNP,118
783,found,VBD,181
784,especially,RB,118
785,remains,VBZ,121
786,process,NN,123
787,future,JJ,197
788,property,NN,117
789,Revenue,NN,136
790,account,NN,149
791,S&P,NNP,121
792,working,VBG,136
793,7\/8,CD,116
794,year-earlier,JJ,116
795,clear,JJ,136
796,basis,NN,116
797,3\/8,CD,116
798,acquire,VB,115
799,owns,VBZ,115
800,increases,NNS,135
801,estimated,VBN,195
802,posted,VBD,130
803,reason,NN,115
804,always,RB,115
805,gained,VBD,133
806,comment,VB,207
807,buyers,NNS,115
808,Financial,NNP,122
809,course,NN,114
810,Wednesday,NNP,114
811,filed,VBN,191
812,includes,VBZ,114
813,currency,NN,114
814,short,JJ,127
815,coming,VBG,135
816,Calif.,NNP,114
817,concerns,NNS,116
818,ever,RB,113
819,producers,NNS,113
820,reports,NNS,135
821,data,NNS,144
822,activity,NN,113
823,better,JJR,188
824,put,VB,250
825,hours,NNS,113
826,attorney,NN,113
827,Thursday,NNP,113
828,Merrill,NNP,116
829,competition,NN,112
830,set,VBN,246
831,stores,NNS,112
832,seen,VBN,112
833,adds,VBZ,112
834,largely,RB,112
835,fourth,JJ,112
836,institutions,NNS,111
837,April,NNP,111
838,venture,NN,111
839,steel,NN,111
840,recession,NN,111
841,build,VB,121
842,rise,NN,195
843,Rep.,NNP,111
844,brokerage,NN,111
845,1\/8,CD,111
846,J.,NNP,110
847,Judge,NNP,110
848,significant,JJ,110
849,thing,NN,110
850,rules,NNS,112
851,abortion,NN,110
852,areas,NNS,110
853,'ll,MD,110
854,Lynch,NNP,110
855,Bay,NNP,112
856,Among,IN,109
857,Dec.,NNP,111
858,project,NN,118
859,So,RB,170
860,seems,VBZ,109
861,pressure,NN,115
862,question,NN,124
863,offered,VBN,187
864,begin,VB,117
865,scheduled,VBN,119
866,`,``,108
867,included,VBD,140
868,great,JJ,108
869,campaign,NN,108
870,marks,NNS,122
871,done,VBN,108
872,settlement,NN,108
873,seven,CD,107
874,magazine,NN,107
875,independent,JJ,107
876,quickly,RB,107
877,State,NNP,121
878,generally,RB,107
879,Most,JJS,127
880,taking,VBG,109
881,December,NNP,107
882,name,NN,118
883,bad,JJ,106
884,Shearson,NNP,106
885,PLC,NNP,105
886,force,NN,155
887,She,PRP,107
888,joint,JJ,113
889,dealers,NNS,105
890,staff,NN,105
891,Still,RB,105
892,arbitrage,NN,105
893,parts,NNS,104
894,believe,VBP,157
895,reserves,NNS,106
896,mortgage,NN,106
897,Meanwhile,RB,104
898,TV,NN,160
899,simply,RB,104
900,German,JJ,125
901,instead,RB,104
902,black,JJ,107
903,fees,NNS,103
904,Analysts,NNS,103
905,France,NNP,103
906,brokers,NNS,103
907,ahead,RB,103
908,situation,NN,103
909,military,JJ,115
910,projects,NNS,105
911,received,VBD,180
912,CBS,NNP,103
913,impact,NN,105
914,showed,VBD,105
915,heavy,JJ,110
916,man,NN,104
917,series,NN,102
918,difficult,JJ,102
919,benefits,NNS,106
920,kind,NN,105
921,taxes,NNS,101
922,labor,NN,101
923,measure,NN,114
924,right,NN,235
925,Canadian,JJ,129
926,shareholder,NN,101
927,cut,VB,245
928,Trust,NNP,101
929,eight,CD,101
930,Journal,NNP,100
931,Institute,NNP,100
932,reached,VBN,143
933,hard,JJ,131
934,merger,NN,100
935,Morgan,NNP,100
936,smaller,JJR,100
937,floor,NN,100
938,lines,NNS,100
939,Dr.,NNP,99
940,deficit,NN,99
941,summer,NN,99
942,Since,IN,99
943,pilots,NNS,99
944,meet,VB,107
945,close,VB,290
946,history,NN,98
947,partner,NN,98
948,school,NN,98
949,anything,NN,98
950,involved,VBN,122
951,majority,NN,98
952,need,VBP,213
953,Moody,NNP,98
954,men,NNS,97
955,free,JJ,103
956,became,VBD,97
957,convertible,JJ,105
958,individual,JJ,119
959,usually,RB,97
960,Express,NNP,97
961,house,NN,102
962,remain,VB,135
963,Both,DT,99
964,range,NN,116
965,enough,RB,183
966,leader,NN,96
967,announcement,NN,96
968,evidence,NN,96
969,His,PRP$,96
970,active,JJ,96
971,increasing,VBG,99
972,directly,RB,95
973,hand,NN,97
974,children,NNS,95
975,French,JJ,114
976,aid,NN,104
977,accounts,NNS,114
978,congressional,JJ,95
979,volatility,NN,95
980,Kidder,NNP,95
981,Eastern,NNP,105
982,allow,VB,110
983,returns,NNS,100
984,sharply,RB,93
985,Service,NNP,95
986,seek,VB,105
987,asked,VBD,138
988,delivery,NN,93
989,Sony,NNP,93
990,conditions,NNS,93
991,North,NNP,116
992,Other,JJ,93
993,trust,NN,100
994,session,NN,93
995,pound,NN,93
996,francs,NNS,93
997,spokeswoman,NN,92
998,receive,VB,106
999,telephone,NN,92
1000,George,NNP,92
1001,Smith,NNP,92
1002,sector,NN,92
1003,Sen.,NNP,92
1004,considered,VBN,101
1005,Business,NNP,107
1006,believes,VBZ,91
1007,crash,NN,98
1008,study,NN,108
1009,women,NNS,91
1010,wanted,VBD,95
1011,transactions,NNS,91
1012,brand,NN,91
1013,Digital,NNP,91
1014,continues,VBZ,90
1015,per,IN,94
1016,machine,NN,90
1017,May,NNP,94
1018,age,NN,90
1019,bought,VBD,139
1020,creditors,NNS,90
1021,Reserve,NNP,90
1022,yields,NNS,94
1023,short-term,JJ,89
1024,along,IN,127
1025,produce,VB,104
1026,size,NN,89
1027,"1,000",CD,89
1028,view,NN,111
1029,Dinkins,NNP,89
1030,comes,VBZ,89
1031,security,NN,89
1032,lost,VBD,156
1033,wage,NN,89
1034,Guber,NNP,89
1035,quake,NN,89
1036,paying,VBG,88
1037,According,VBG,88
1038,main,JJ,88
1039,conference,NN,88
1040,key,JJ,112
1041,regulators,NNS,90
1042,leading,VBG,115
1043,Peter,NNP,88
1044,himself,PRP,88
1045,questions,NNS,88
1046,jumped,VBD,93
1047,member,NN,88
1048,tons,NNS,88
1049,machines,NNS,87
1050,why,WRB,87
1051,center,NN,89
1052,Justice,NNP,89
1053,actually,RB,87
1054,retail,JJ,105
1055,Series,NNP,120
1056,Gorbachev,NNP,87
1057,Peters,NNP,87
1058,idea,NN,86
1059,imports,NNS,89
1060,initial,JJ,86
1061,SEC,NNP,86
1062,designed,VBN,92
1063,gold,NN,103
1064,calls,VBZ,133
1065,letter,NN,86
1066,Also,RB,86
1067,IRS,NNP,86
1068,Industrial,NNP,89
1069,earned,VBD,103
1070,open,JJ,139
1071,auction,NN,92
1072,Motor,NNP,85
1073,fall,NN,165
1074,space,NN,85
1075,base,NN,94
1076,Jr.,NNP,85
1077,required,VBN,108
1078,software,NN,85
1079,All,DT,109
1080,capacity,NN,85
1081,rest,NN,90
1082,Its,PRP$,85
1083,separate,JJ,89
1084,game,NN,85
1085,means,VBZ,106
1086,Because,IN,85
1087,test,NN,98
1088,nothing,NN,85
1089,helped,VBD,126
1090,Western,NNP,153
1091,agencies,NNS,85
1092,Qintex,NNP,85
1093,No,DT,97
1094,actual,JJ,84
1095,effective,JJ,86
1096,survey,NN,89
1097,Poland,NNP,84
1098,partly,RB,84
1099,estimates,NNS,122
1100,natural,JJ,89
1101,Hugo,NNP,84
1102,expenses,NNS,83
1103,protection,NN,83
1104,continuing,VBG,91
1105,face,NN,145
1106,Australia,NNP,83
1107,newspaper,NN,83
1108,sense,NN,87
1109,final,JJ,83
1110,ability,NN,83
1111,unchanged,JJ,83
1112,holds,VBZ,82
1113,January,NNP,82
1114,near,IN,106
1115,started,VBD,114
1116,single,JJ,82
1117,party,NN,82
1118,failed,VBD,128
1119,woman,NN,82
1120,side,NN,84
1121,try,VB,109
1122,term,NN,82
1123,Nissan,NNP,82
1124,attempt,NN,96
1125,R.,NNP,81
1126,led,VBN,141
1127,manufacturing,NN,122
1128,night,NN,83
1129,activities,NNS,81
1130,apparently,RB,81
1131,package,NN,83
1132,operation,NN,81
1133,form,NN,106
1134,closely,RB,80
1135,Despite,IN,80
1136,thrift,NN,80
1137,related,VBN,111
1138,response,NN,80
1139,young,JJ,80
1140,consumers,NNS,80
1141,show,NN,199
1142,water,NN,80
1143,vote,NN,114
1144,various,JJ,80
1145,ways,NNS,80
1146,Fund,NNP,86
1147,rising,VBG,81
1148,exports,NNS,84
1149,Supreme,NNP,79
1150,filing,NN,95
1151,improve,VB,83
1152,spring,NN,81
1153,greater,JJR,79
1154,finance,NN,128
1155,instance,NN,79
1156,article,NN,79
1157,Baker,NNP,79
1158,trial,NN,79
1159,offices,NNS,79
1160,daily,JJ,99
1161,payment,NN,79
1162,Insurance,NNP,91
1163,veto,NN,94
1164,completed,VBN,126
1165,energy,NN,78
1166,Management,NNP,84
1167,economist,NN,78
1168,serious,JJ,78
1169,decade,NN,78
1170,acquired,VBN,134
1171,disclosed,VBN,116
1172,U.K.,NNP,78
1173,quality,NN,81
1174,pension,NN,78
1175,estimate,NN,108
1176,continued,VBD,153
1177,gave,VBD,77
1178,Research,NNP,79
1179,provision,NN,77
1180,built,VBN,92
1181,quarterly,JJ,87
1182,across,IN,82
1183,quoted,VBN,81
1184,jobs,NNS,77
1185,Moreover,RB,79
1186,"10,000",CD,77
1187,media,NNS,81
1188,emergency,NN,77
1189,owned,VBN,98
1190,running,VBG,82
1191,traded,VBN,104
1192,debentures,NNS,76
1193,district,NN,76
1194,avoid,VB,80
1195,policies,NNS,76
1196,familiar,JJ,76
1197,run,VB,156
1198,matter,NN,84
1199,field,NN,77
1200,approved,VBN,148
1201,issued,VBN,112
1202,specific,JJ,81
1203,feet,NNS,75
1204,Stanley,NNP,75
1205,provides,VBZ,75
1206,sharp,JJ,75
1207,morning,NN,74
1208,Computer,NNP,80
1209,fully,RB,74
1210,interview,NN,76
1211,Lehman,NNP,74
1212,takes,VBZ,74
1213,highly,RB,74
1214,trader,NN,74
1215,Lawson,NNP,74
1216,relatively,RB,73
1217,together,RB,81
1218,People,NNS,83
1219,hold,VB,115
1220,supply,NN,95
1221,behind,IN,86
1222,negative,JJ,73
1223,Democratic,JJ,85
1224,battle,NN,75
1225,develop,VB,77
1226,medical,JJ,72
1227,Valley,NNP,72
1228,Electric,NNP,72
1229,Thomas,NNP,72
1230,raised,VBD,133
1231,provisions,NNS,72
1232,'d,MD,85
1233,Yesterday,NN,72
1234,Two,CD,72
1235,cancer,NN,71
1236,bring,VB,84
1237,properties,NNS,71
1238,Not,RB,71
1239,owners,NNS,71
1240,institutional,JJ,71
1241,premium,NN,77
1242,economists,NNS,71
1243,larger,JJR,71
1244,look,VB,138
1245,over-the-counter,JJ,73
1246,willing,JJ,71
1247,chance,NN,71
1248,trades,NNS,82
1249,bankruptcy,NN,70
1250,purchases,NNS,70
1251,unless,IN,70
1252,ads,NNS,70
1253,County,NNP,70
1254,hands,NNS,72
1255,jury,NN,70
1256,widely,RB,70
1257,Manhattan,NNP,70
1258,sure,JJ,84
1259,-,:,70
1260,Santa,NNP,70
1261,Average,NNP,96
1262,moves,NNS,88
1263,facilities,NNS,70
1264,Index,NNP,81
1265,Then,RB,69
1266,substantial,JJ,69
1267,chain,NN,69
1268,perhaps,RB,69
1269,beginning,VBG,104
1270,direct,JJ,76
1271,lawyer,NN,69
1272,Secretary,NNP,69
1273,Hutton,NNP,69
1274,publicly,RB,69
1275,Another,DT,69
1276,necessary,JJ,69
1277,press,NN,86
1278,students,NNS,69
1279,death,NN,69
1280,adding,VBG,69
1281,competitors,NNS,69
1282,valued,VBN,76
1283,speculation,NN,69
1284,Reagan,NNP,69
1285,deals,NNS,74
1286,houses,NNS,71
1287,Americans,NNPS,95
1288,USX,NNP,69
1289,Airlines,NNPS,105
1290,A.,NNP,105
1291,Commerce,NNP,68
1292,considering,VBG,68
1293,Mexico,NNP,68
1294,standards,NNS,68
1295,turn,VB,106
