first,second,max_tag,appearances
JJ,executive,NN,214
DT,economy,NN,149
IN,in,IN,149
",",I,PRP,149
VBZ,for,IN,148
RP,.,.,148
POS,numeric-word,CD,148
IN,three,CD,147
DT,Treasury,NNP,149
VB,out,RP,212
NNP,Inc,NNP,147
CD,points,NNS,147
BOS,Last,JJ,146
VBG,with,IN,146
IN,both,DT,163
NNS,do,VBP,151
VB,some,DT,147
VB,more,JJR,229
VBG,from,IN,145
VBG,numeric-word,CD,145
RBR,this,DT,145
NNS,due,JJ,152
DT,quarter,NN,145
",",where,WRB,143
DT,plan,NN,144
RB,said,VBD,147
NNP,from,IN,143
JJ,bonds,NNS,143
IN,there,EX,158
NNP,Ltd.,NNP,142
NNP,Corp,NNP,142
JJ,$,$,142
IN,federal,JJ,142
WDT,will,MD,142
",",such,JJ,143
",",some,DT,141
BOS,Now,RB,141
DT,recent,JJ,140
VBG,up,RP,165
VBZ,one,CD,143
CC,chief,JJ,239
BOS,Sales,NNS,139
NN,products,NNS,139
VBG,it,PRP,139
JJ,products,NNS,139
RB,because,IN,142
JJ,loss,NN,139
BOS,Although,IN,138
BOS,We,PRP,138
VBN,numeric-word,CD,139
VBD,from,IN,138
VBG,an,DT,138
JJ,investment,NN,138
DT,spokesman,NN,138
VBN,up,RP,162
NNP,Association,NNP,137
",",chairman,NN,137
NNP,on,IN,137
PRP,think,VBP,148
JJ,people,NNS,137
",",are,VBP,137
NNS,the,DT,136
BOS,However,RB,138
VB,``,``,136
VBG,at,IN,136
'',the,DT,136
NNS,was,VBD,135
NN,maker,NN,135
BOS,After,IN,137
NN,since,IN,135
PRP,does,VBZ,135
",",because,IN,136
DT,last,JJ,135
NNP,Capital,NNP,134
NN,were,VBD,133
WRB,it,PRP,133
RB,this,DT,133
BOS,Under,IN,133
DT,president,NN,134
BOS,To,TO,133
NN,system,NN,133
NN,fell,VBD,133
RP,to,TO,132
DT,Big,NNP,133
IN,her,PRP$,157
DT,transaction,NN,131
NNP,Angeles,NNP,131
JJ,debt,NN,130
CD,;,:,130
IN,sales,NNS,130
DT,good,JJ,133
NNS,over,IN,133
RB,far,RB,131
NNP,Commission,NNP,129
BOS,-LRB-,-LRB-,129
",",if,IN,129
IN,part,NN,129
``,If,IN,129
DT,city,NN,128
JJ,officer,NN,128
VBG,their,PRP$,128
WDT,was,VBD,128
JJ,banks,NNS,128
CC,is,VBZ,127
NN,before,IN,145
BOS,These,DT,127
IN,people,NNS,127
NNP,Union,NNP,127
DT,agency,NN,127
DT,problem,NN,126
RB,with,IN,126
:,a,DT,131
VBN,$,$,126
NNS,into,IN,126
NN,firm,NN,127
CC,``,``,126
JJ,profit,NN,126
BOS,By,IN,126
``,There,EX,125
",",there,EX,126
IN,several,JJ,125
BOS,An,DT,125
RB,more,RBR,215
PRP,'m,VBP,125
NN,costs,NNS,134
JJ,price,NN,125
BOS,Many,JJ,127
CD,1\/4,CD,125
MD,take,VB,125
DT,Fed,NNP,125
",",we,PRP,125
DT,Senate,NNP,124
VB,about,IN,174
BOS,With,IN,124
IN,program,NN,124
NNP,City,NNP,122
PRP,may,MD,122
JJ,about,IN,124
JJ,issues,NNS,122
MD,make,VB,122
WP,is,VBZ,122
CD,or,CC,122
DT,firm,NN,135
",",via,IN,122
NNS,``,``,121
JJR,",",",",121
NNP,are,VBP,122
VBZ,he,PRP,121
DT,British,JJ,138
JJ,funds,NNS,120
NNS,because,IN,127
NNP,Kong,NNP,120
VBZ,on,IN,128
DT,Dow,NNP,120
#,numeric-word,CD,121
DT,Federal,NNP,119
JJ,``,``,119
DT,bill,NN,119
NN,ago,RB,174
PRP,expects,VBZ,118
JJ,vice,NN,118
NNP,Court,NNP,118
JJ,rate,NN,118
NN,?,.,118
VB,off,RP,134
NNP,at,IN,118
``,the,DT,120
VB,this,DT,120
RB,will,MD,117
IN,July,NNP,117
NNP,spokesman,NN,117
JJ,growth,NN,118
VBN,into,IN,117
JJ,markets,NNS,117
DT,former,JJ,118
RB,that,IN,168
NN,does,VBZ,117
BOS,Revenue,NN,121
IN,London,NNP,117
",",$,$,116
VBZ,also,RB,116
DT,exchange,NN,116
NNP,;,:,116
NN,operations,NNS,115
DT,companies,NNS,115
IN,five,CD,115
JJ,financial,JJ,115
NN,makers,NNS,114
TO,help,VB,114
RP,",",",",114
DT,analyst,NN,114
",",Calif.,NNP,114
DT,move,NN,113
VBD,not,RB,113
DT,.,.,113
NN,but,CC,114
NN,program,NN,113
:,$,$,113
VBD,named,VBN,112
PRP,added,VBD,112
CD,weeks,NNS,112
NN,officer,NN,112
NN,concern,NN,112
IN,at,IN,112
DT,loss,NN,112
IN,another,DT,111
",",not,RB,111
NNS,after,IN,112
DT,agreement,NN,111
RB,if,IN,111
DT,business,NN,111
DT,average,JJ,187
NN,through,IN,112
IN,stocks,NNS,110
DT,small,JJ,110
TO,keep,VB,109
VBZ,about,IN,175
NN,if,IN,109
DT,previous,JJ,109
MD,continue,VB,109
VBD,as,IN,147
NN,stocks,NNS,109
'',in,IN,108
",",even,RB,108
DT,more,RBR,153
CC,some,DT,108
BOS,Even,RB,110
IN,stock,NN,108
DT,National,NNP,107
BOS,Among,IN,107
TO,an,DT,107
",",were,VBD,107
NNP,that,IN,190
VB,able,JJ,107
WDT,have,VBP,108
",",would,MD,106
IN,I,PRP,106
'',to,TO,106
BOS,--,:,106
NN,markets,NNS,106
IN,San,NNP,106
NNP,Lynch,NNP,106
VBZ,its,PRP$,105
NN,have,VBP,116
PRP$,numeric-word,CD,105
RB,many,JJ,108
NNS,fell,VBD,105
BOS,What,WP,105
JJ,at,IN,105
JJ,months,NNS,105
DT,Japanese,JJ,171
JJ,or,CC,105
CD,5\/8,CD,105
PRP,'ll,MD,105
BOS,Still,RB,105
DT,money,NN,105
NNS,has,VBZ,104
NN,plan,NN,105
VB,been,VBN,104
BOS,Meanwhile,RB,104
CC,then,RB,104
NN,securities,NNS,104
BOS,Analysts,NNS,103
VBD,with,IN,103
IN,investors,NNS,103
IN,Oct.,NNP,103
NN,he,PRP,102
",",that,IN,195
NNP,composite,JJ,119
VBG,and,CC,102
DT,offer,NN,103
DT,best,JJS,107
IN,October,NNP,101
TO,acquire,VB,101
TO,its,PRP$,101
NNP,could,MD,101
NN,value,NN,101
CC,more,JJR,137
WRB,he,PRP,101
IN,cash,NN,101
NNP,Air,NNP,101
NNP,or,CC,100
RP,with,IN,100
NN,during,IN,99
",",after,IN,101
NN,says,VBZ,99
DT,White,NNP,99
TO,see,VB,99
PRP,and,CC,99
NNP,Committee,NNP,99
RBR,",",",",99
CC,his,PRP$,99
DT,investment,NN,99
JJ,securities,NNS,98
IN,Japanese,JJ,101
``,a,DT,98
NNP,National,NNP,98
NN,they,PRP,98
JJ,policy,NN,98
DT,large,JJ,98
NNP,Germany,NNP,98
IN,California,NNP,98
NNS,old,JJ,97
NNS,under,IN,97
NN,under,IN,97
IN,foreign,JJ,97
IN,my,PRP$,97
NNP,Express,NNP,97
WRB,they,PRP,96
NNP,have,VBP,101
NNP,stock,NN,96
",",she,PRP,96
",",also,RB,96
BOS,So,RB,152
IN,only,RB,115
-LRB-,D.,NNP,96
``,This,DT,97
CC,even,RB,100
DT,only,JJ,109
IN,certain,JJ,95
DT,the,DT,95
IN,four,CD,95
",",whose,WP$,95
BOS,Since,IN,95
VBP,they,PRP,95
",",one,CD,100
CD,marks,NNS,95
CD,common,JJ,95
JJ,economic,JJ,94
PRP,in,IN,100
IN,how,WRB,94
NNS,before,IN,100
POS,largest,JJS,94
NNP,PLC,NNP,93
NN,among,IN,93
VBD,out,RP,145
JJ,from,IN,93
VBN,``,``,93
BOS,She,PRP,93
NN,firms,NNS,93
JJ,tax,NN,93
JJ,group,NN,93
VB,into,IN,93
``,They,PRP,93
NNP,``,``,93
",",had,VBD,92
BOS,Both,DT,96
``,You,PRP,92
NNP,by,IN,92
NN,profit,NN,92
IN,June,NNP,92
JJ,stocks,NNS,92
DT,year-earlier,JJ,92
",",have,VBP,99
JJ,on,IN,93
JJ,notes,NNS,92
CD,3\/8,CD,92
VBG,company,NN,91
IN,Washington,NNP,91
IN,for,IN,91
JJ,bank,NN,91
JJ,program,NN,91
VBZ,$,$,91
IN,Europe,NNP,91
WDT,could,MD,91
DT,real,JJ,92
TO,give,VB,91
CC,we,PRP,91
PRP,should,MD,91
VBP,their,PRP$,90
",",although,IN,90
'',of,IN,90
NN,did,VBD,90
BOS,Most,JJS,109
VBD,some,DT,90
NNP,Chairman,NNP,91
BOS,Other,JJ,90
NNP,may,MD,90
NN,managers,NNS,89
",",based,VBN,89
VBD,yesterday,NN,90
NNPS,Corp.,NNP,89
NNP,with,IN,89
VBG,$,$,89
IN,no,DT,90
NNS,but,CC,89
IN,Wall,NNP,89
RP,in,IN,89
BOS,His,PRP$,89
CC,not,RB,89
VBD,no,DT,99
NNP,market,NN,89
CD,7\/8,CD,89
CC,I,PRP,90
RB,was,VBD,89
JJ,operations,NNS,89
CD,1\/8,CD,89
CC,has,VBZ,88
BOS,According,VBG,88
DT,largest,JJS,88
NNP,reported,VBD,89
NNS,this,DT,88
NNS,between,IN,88
VBD,net,JJ,110
VB,what,WP,91
DT,contract,NN,88
JJ,net,JJ,127
CD,times,NNS,89
DT,financial,JJ,87
JJ,businesses,NNS,87
DT,program,NN,87
",",New,NNP,88
NNP,Reserve,NNP,87
NNS,when,WRB,87
'',a,DT,87
NNP,administration,NN,87
JJ,than,IN,86
NN,executive,NN,113
JJ,--,:,86
TO,Mr.,NNP,86
MD,do,VB,86
NNP,Securities,NNPS,148
VBG,out,RP,116
IN,late,JJ,97
POS,``,``,86
VBD,their,PRP$,86
BOS,Also,RB,86
NNP,Institute,NNP,85
IN,making,VBG,85
TO,raise,VB,85
NNS,than,IN,85
NN,increase,NN,85
VBN,of,IN,86
NNP,rose,VBD,85
TO,close,VB,86
JJ,issue,NN,85
DT,law,NN,85
DT,rest,NN,85
VBN,out,RP,131
IN,revenue,NN,85
DT,American,NNP,135
TO,comment,VB,85
DT,people,NNS,85
POS,$,$,85
CC,an,DT,85
CC,will,MD,86
DT,Soviet,NNP,140
CC,said,VBD,84
NNP,Jr.,NNP,84
NNS,against,IN,84
VBD,about,IN,126
IN,year,NN,84
JJ,problems,NNS,84
PRP$,first,JJ,85
DT,report,NN,84
CC,at,IN,84
NN,should,MD,84
DT,proposal,NN,84
VBG,them,PRP,84
",",many,JJ,92
MD,get,VB,84
DT,judge,NN,84
DT,very,RB,100
DT,cost,NN,84
CD,people,NNS,83
NNP,Motor,NNP,83
IN,with,IN,83
BOS,Its,PRP$,83
VBZ,his,PRP$,83
PRP,want,VBP,85
DT,deal,NN,83
DT,San,NNP,83
NNP,Co,NNP,83
MD,also,RB,83
JJ,loans,NNS,83
DT,earthquake,NN,83
IN,interest,NN,82
NNP,J.,NNP,82
CC,for,IN,82
DT,additional,JJ,82
CD,--,:,82
VBZ,still,RB,82
TO,reduce,VB,82
CC,there,EX,88
",",you,PRP,82
DT,takeover,NN,82
NN,services,NNS,83
JJ,weeks,NNS,82
JJ,results,NNS,82
NN,futures,NNS,82
RB,after,IN,86
DT,nine,CD,82
NN,manager,NN,81
DT,special,JJ,81
JJ,two,CD,81
MD,help,VB,82
IN,being,VBG,81
IN,business,NN,81
WDT,the,DT,81
VBP,for,IN,82
NN,here,RB,81
",",its,PRP$,81
BOS,Because,IN,81
NN,ended,VBN,157
IN,major,JJ,81
IN,years,NNS,80
RB,high,JJ,82
VBZ,at,IN,80
DT,three,CD,80
VBD,one,CD,83
TO,build,VB,80
",",analysts,NNS,80
:,.,.,80
NNP,were,VBD,80
VBD,him,PRP,80
IN,America,NNP,80
JJ,agreement,NN,80
TO,``,``,80
JJ,few,JJ,80
WDT,had,VBD,80
PDT,a,DT,80
NN,one,CD,82
NN,share,NN,80
JJ,money,NN,79
IN,next,JJ,79
RP,for,IN,79
NNS,closed,VBD,80
NNS,they,PRP,79
JJ,product,NN,79
VBD,into,IN,79
JJ,news,NN,79
JJ,bid,NN,79
JJ,capital,NN,79
",",this,DT,79
TO,provide,VB,79
VBN,it,PRP,79
VBN,through,IN,79
POS,stock,NN,79
NNP,Pacific,NNP,79
NNP,Peters,NNP,79
IN,early,JJ,97
NNP,closed,VBD,79
IN,she,PRP,78
NN,agency,NN,78
NNP,Dinkins,NNP,78
PRP,might,MD,78
NNS,should,MD,78
DT,computer,NN,78
NN,bond,NN,78
NNP,Boston,NNP,78
JJ,German,JJ,79
VBG,about,IN,92
BOS,Despite,IN,77
VBN,an,DT,77
DT,acquisition,NN,77
VBP,on,IN,85
VBG,his,PRP$,77
BOS,Moreover,RB,79
TO,go,VB,77
",",by,IN,77
VB,used,VBN,78
CD,point,NN,78
DT,bid,NN,77
IN,debt,NN,77
IN,as,RB,105
VBZ,going,VBG,77
IN,us,PRP,76
DT,plant,NN,76
RB,though,IN,77
VBD,by,IN,79
NNP,does,VBZ,76
JJR,to,TO,76
RB,only,RB,81
VBZ,being,VBG,76
IN,instance,NN,76
VB,sold,VBN,76
VBP,going,VBG,76
JJ,a,DT,76
",",then,RB,76
VB,as,IN,146
NNP,Insurance,NNP,76
NN,arbitrage,NN,76
IN,fiscal,JJ,76
DT,pound,NN,76
NNP,area,NN,76
CC,are,VBP,75
DT,kind,NN,75
NNS,like,IN,81
CC,Exchange,NNP,75
NNP,Business,NNP,75
DT,value,NN,75
TO,use,VB,75
RB,would,MD,75
DT,recession,NN,75
NN,without,IN,75
RB,one,CD,80
WRB,a,DT,75
EX,was,VBD,75
IN,if,IN,75
DT,California,NNP,75
JJ,losses,NNS,75
DT,statement,NN,75
PRP,ca,MD,75
DT,analysts,NNS,75
IN,China,NNP,75
NNS,numeric-word,CD,75
JJ,oil,NN,75
DT,quake,NN,75
DT,high,JJ,77
JJ,way,NN,74
NN,...,:,74
NNP,Research,NNP,74
IN,assets,NNS,74
CD,other,JJ,74
TO,meet,VB,74
VBP,expected,VBN,75
NN,came,VBD,74
IN,Tokyo,NNP,74
IN,fact,NN,74
'',she,PRP,74
VBZ,likely,JJ,76
IN,American,NNP,134
VB,new,JJ,73
``,But,CC,73
IN,April,NNP,73
DT,record,NN,86
VB,Mr.,NNP,73
NNP,Lehman,NNP,73
TO,his,PRP$,73
IN,and,CC,73
DT,decision,NN,73
DT,biggest,JJS,73
MD,go,VB,73
DT,fourth,JJ,74
