type,token,index,frequency
word,plant,223,227
word,which,224,2164
word,owned,225,98
word,by,226,4274
word,Hollingsworth,227,2
word,&,228,977
word,Vose,229,2
word,Co.,230,854
word,under,231,528
word,contract,232,298
word,probably,233,149
word,support,234,223
word,argue,235,46
word,U.S.,236,1552
word,should,237,405
word,regulate,238,11
word,class,239,42
word,common,240,362
word,kind,241,105
word,chrysotile,242,2
word,found,243,181
word,most,244,766
word,other,245,1344
word,buildings,246,49
word,one,247,1347
word,few,248,339
word,nations,249,44
word,does,250,491
word,n't,251,3132
word,standard,252,85
word,regulation,253,26
word,smooth,254,11
word,fibers,255,13
word,such,256,860
word,classified,257,9
word,according,258,306
word,Brooke,259,4
word,T.,260,39
word,Mossman,261,2
word,professor,262,40
word,Vermont,263,14
word,College,264,15
word,More,265,64
word,easily,266,39
word,rejected,267,63
word,body,268,28
word,explained,269,18
word,In,270,1706
word,July,271,161
word,Environmental,272,23
word,Protection,273,18
word,Agency,274,34
word,imposed,275,24
word,gradual,276,7
word,ban,277,42
word,virtually,278,49
word,all,279,1017
word,uses,280,48
word,By,281,136
word,almost,282,191
word,remaining,283,66
word,cancer-causing,284,2
word,outlawed,285,6
word,About,286,54
word,made,287,529
word,Areas,288,2
word,particularly,289,122
word,dusty,290,4
word,where,291,346
word,Workers,292,32
word,dumped,293,20
word,large,294,249
word,sacks,295,3
word,imported,296,28
word,material,297,57
word,into,298,881
word,huge,299,120
word,poured,300,7
word,cotton,301,17
word,mechanically,302,2
word,mixed,303,49
word,dry,304,14
word,process,305,123
word,described,306,40
word,clouds,307,7
word,blue,308,21
word,dust,309,8
word,hung,310,5
word,over,311,844
word,parts,312,104
word,though,313,235
word,exhaust,314,3
word,fans,315,27
word,ventilated,316,3
word,area,317,183
word,question,318,124
word,some,319,1252
word,managers,320,164
word,contracted,321,13
word,Phillips,322,53
word,vice,323,343
word,president,324,869
word,human,325,63
word,resources,326,51
word,But,327,1668
word,you,328,561
word,recognize,329,19
word,these,330,425
word,events,331,65
word,took,332,211
word,place,333,149
word,It,334,1088
word,bearing,335,12
word,work,336,384
word,force,337,155
word,Yields,338,12
word,money-market,339,20
word,mutual,340,60
word,funds,341,425
word,continued,342,153
word,slide,343,39
word,amid,344,55
word,signs,345,53
word,portfolio,346,134
word,expect,347,192
word,further,348,232
word,declines,349,70
word,interest,350,609
word,rates,351,452
word,average,352,337
word,seven-day,353,14
word,compound,354,17
word,yield,355,359
word,taxable,356,22
word,tracked,357,8
word,Money,358,31
word,Fund,359,86
word,Report,360,46
word,eased,361,28
word,fraction,362,9
word,point,363,246
word,%,364,4718
word,week,365,654
word,ended,366,282
word,Tuesday,367,199
word,Compound,368,2
word,yields,369,94
word,assume,370,34
word,reinvestment,371,6
word,dividends,372,63
word,current,373,333
word,continues,374,90
word,Average,375,96
word,maturity,376,61
word,',377,712
word,investments,378,125
word,lengthened,379,4
word,day,380,308
word,days,381,489
word,longest,382,5
word,since,383,447
word,August,384,215
word,Donoghue,385,7
word,Longer,386,3
word,maturities,387,17
word,thought,388,104
word,indicate,389,37
word,declining,390,47
word,because,391,971
word,they,392,1904
word,permit,393,24
word,retain,394,32
word,relatively,395,73
word,longer,396,100
word,period,397,270
word,considered,398,102
word,sign,399,83
word,rising,400,82
word,can,401,896
word,capture,402,9
word,sooner,403,14
word,open,404,140
word,only,405,897
word,institutions,406,111
word,stronger,407,37
word,indicator,408,15
word,watch,409,37
word,market,410,1760
word,reached,411,143
word,Nevertheless,412,23
word,Brenda,413,3
word,Malizia,414,3
word,Negus,415,4
word,editor,416,48
word,may,417,772
word,blip,418,4
word,again,419,176
word,down,420,663
word,recent,421,448
word,rises,422,13
word,short-term,423,90
word,six-month,424,42
word,Treasury,425,299
word,bills,426,149
word,Monday,427,204
word,auction,428,92
word,example,429,205
word,rose,430,636
word,Despite,431,80
word,investors,432,601
word,continue,433,251
word,pour,434,6
word,cash,435,343
word,money,436,500
word,Assets,437,9
word,grew,438,55
word,$,439,6777
word,during,440,359
word,Typically,441,9
word,money-fund,442,3
word,beat,443,28
word,comparable,444,41
word,vary,445,26
word,go,446,246
word,after,447,873
word,top,448,189
word,currently,449,182
word,yielding,450,15
word,well,451,411
word,Dreyfus,452,11
word,World-Wide,453,2
word,Dollar,454,19
word,top-yielding,455,2
word,fund,456,241
word,had,457,1625
word,earlier,458,533
word,invests,459,5
word,heavily,460,63
word,dollar-denominated,461,8
word,securities,462,398
word,overseas,463,87
word,waiving,464,3
word,management,465,253
word,fees,466,103
word,boosts,467,13
word,simple,468,41
word,30-day,469,24
word,fell,470,395
word,;,471,1144
word,slid,472,29
word,J.P.,473,5
word,W.R.,474,5
word,Grace,475,18
word,holds,476,82
word,elected,477,69
word,He,478,813
word,succeeds,479,41
word,D.,480,146
word,formerly,481,35
word,resigned,482,71
word,Energy,483,49
word,seven,484,107
word,seats,485,37
word,Pacific,486,145
word,First,487,272
word,Financial,488,122
word,shareholders,489,165
word,approved,490,148
word,acquisition,491,183
word,Royal,492,29
word,Ltd.,493,183
word,Toronto,494,45
word,share,495,1358
word,or,496,2431
word,million,497,4122
word,thrift,498,80
word,holding,499,171
word,expects,500,221
word,obtain,501,42
word,regulatory,502,66
word,approval,503,135
word,complete,504,61
word,transaction,505,183
word,year-end,506,16
word,International,507,283
word,completed,508,126
word,sale,509,362
word,Bailey,510,5
word,Controls,511,2
word,Operations,512,8
word,Finmeccanica,513,2
word,S.p,514,8
word,Italian,515,24
word,state-owned,516,22
word,interests,517,127
word,mechanical,518,7
word,engineering,519,60
word,industry,520,524
word,based,521,294
word,Ohio,522,61
word,computerized,523,11
word,controls,524,57
word,systems,525,122
word,employs,526,19
word,"2,700",527,4
word,people,528,662
word,annual,529,205
word,revenue,530,292
word,federal,531,483
word,government,532,780
word,suspended,533,45
word,sales,534,805
word,savings,535,62
word,bonds,536,596
word,Congress,537,317
word,lifted,538,19
word,ceiling,539,43
word,debt,540,412
word,Until,541,40
word,acts,542,28
word,authority,543,50
word,issue,544,452
word,obligations,545,16
word,borrowing,546,26
word,dropped,547,171
word,midnight,548,10
word,trillion,549,54
word,Legislation,550,5
word,lift,551,23
word,fight,552,59
word,cutting,553,45
word,capital-gains,554,66
word,taxes,555,101
word,House,556,374
word,voted,557,46
word,raise,558,161
word,but,559,1552
word,Senate,560,200
word,act,561,67
word,until,562,262
word,next,563,576
word,earliest,564,8
word,default,565,37
word,if,566,787
word,then,567,317
word,Clark,568,12
word,J.,569,110
word,Vitulli,570,2
word,senior,571,213
word,general,572,245
word,manager,573,162
word,marketing,574,158
word,arm,575,28
word,Japanese,576,511
word,auto,577,154
word,maker,578,254
word,Mazda,579,13
word,Motor,580,85
word,Corp,581,165
word,position,582,188
word,oversee,583,5
word,service,584,175
word,operations,585,371
word,Previously,586,16
word,Chrysler,587,50
word,division,588,173
word,been,589,1500
word,executive,590,514
word,When,591,224
word,time,592,704
word,their,593,1655
word,biannual,594,2
word,nation,595,192
word,manufacturing,596,122
word,titans,597,4
word,typically,598,60
word,jet,599,15
word,off,600,479
word,sunny,601,3
word,confines,602,2
word,resort,603,24
word,towns,604,9
word,like,605,472
word,Boca,606,3
word,Raton,607,2
word,Hot,608,3
word,Springs,609,15
word,Not,610,71
word,Association,611,166
word,Manufacturers,612,43
word,settled,613,56
word,capital,614,265
word,Indianapolis,615,9
word,fall,616,165
word,meeting,617,203
word,And,618,518
word,city,619,193
word,decided,620,89
word,treat,621,20
word,guests,622,10
word,royalty,623,7
word,rock,624,11
word,stars,625,10
word,owners,626,71
word,idea,627,86
word,course,628,114
word,:,629,1293
word,prove,630,47
word,corporate,631,243
word,decision,632,188
word,makers,633,129
word,buckle,634,5
word,Belt,635,4
word,so,636,611
word,rusty,637,2
word,good,638,338
word,expand,639,57
word,On,640,212
word,receiving,641,23
word,end,642,370
word,message,643,29
word,officials,644,479
word,giants,645,18
word,Du,646,31
word,Pont,647,31
word,along,648,127
word,lesser,649,8
word,knowns,650,2
word,Steel,651,54
word,Valley,652,72
word,Queen,653,3
word,Factory,654,8
word,For,655,441
word,starters,656,4
word,executives,657,191
word,joined,658,43
word,Mayor,659,25
word,William,660,125
word,H.,661,38
word,III,662,21
word,evening,663,18
word,Symphony,664,2
word,guest,665,8
word,Victor,666,11
word,Champagne,667,4
word,dessert,668,2
word,followed,669,82
word,morning,670,74
word,police,671,59
word,wives,672,5
word,raced,673,2
word,traffic,674,51
word,red,675,52
word,lights,676,10
word,governor,677,27
word,could,678,1033
word,lieutenant,679,2
word,welcomed,680,10
word,special,681,147
word,buffet,682,4
word,breakfast,683,10
word,held,684,226
word,museum,685,10
word,food,686,122
word,drinks,687,7
word,banned,688,20
word,everyday,689,9
word,visitors,690,22
word,Then,691,69
word,honor,692,19
word,hauled,693,2
word,out,694,969
word,four,695,254
word,drivers,696,16
word,crews,697,8
word,official,698,218
word,announcer,699,10
word,exhibition,700,9
word,race,701,33
word,After,702,143
word,Fortune,703,3
word,cars,704,141
word,No,705,97
word,pointed,706,19
word,still,707,446
word,space,708,85
word,machines,709,87
word,another,710,344
word,sponsor,711,13
word,name,712,119
word,two,713,988
word,Back,714,15
word,downtown,715,22
word,squeezed,716,18
word,meetings,717,44
word,hotel,718,44
word,buses,719,10
word,dinner,720,16
word,dancing,721,4
word,block,722,75
word,away,723,162
word,Under,724,139
word,moons,725,4
word,Indiana,726,11
word,ballroom,727,3
word,nine,728,186
word,hottest,729,10
word,chefs,730,6
word,town,731,45
word,fed,732,11
word,them,733,650
word,lobster,734,2
word,chocolate,735,5
word,sauce,736,2
word,tasty,737,2
word,free,738,104
word,meal,739,3
word,when,740,936
word,eat,741,15
word,gave,742,77
word,standing,743,29
word,CEOs,744,2
word,say,745,701
word,treatment,746,59
word,tempts,747,2
word,return,748,199
word,heartland,749,2
word,future,750,197
word,looking,751,130
word,forward,752,22
word,winter,753,21
word,February,754,39
word,South,755,194
word,Korea,756,56
word,registered,757,30
word,trade,758,300
word,deficit,759,99
word,October,760,197
word,reflecting,761,67
word,country,762,253
word,economic,763,343
word,sluggishness,764,4
word,figures,765,145
word,released,766,59
word,Wednesday,767,114
word,Preliminary,768,2
word,Trade,769,67
word,Industry,770,48
word,Ministry,771,50
word,showed,772,105
word,fifth,773,14
word,monthly,774,62
word,setback,775,16
word,casting,776,13
word,cloud,777,7
word,export-oriented,778,2
word,economy,779,280
word,Exports,780,7
word,stood,781,27
word,mere,782,14
word,increase,783,337
word,while,784,467
word,imports,785,89
word,increased,786,255
word,sharply,787,93
word,last,788,1009
word,boom,789,34
word,began,790,181
word,prolonged,791,14
word,labor,792,101
word,disputes,793,15
word,conflicts,794,13
word,sluggish,795,30
word,exports,796,84
word,Government,797,28
word,would,798,2108
word,remain,799,135
word,target,800,72
word,gloomy,801,7
word,forecast,802,66
word,recorded,803,34
word,surplus,804,23
word,January,805,82
word,accumulated,806,6
word,same,807,297
word,Imports,808,9
word,Newsweek,809,10
word,trying,810,180
word,keep,811,162
word,pace,812,48
word,rival,813,38
word,Time,814,78
word,magazine,815,107
word,announced,816,233
word,advertising,817,148
word,introduce,818,35
word,incentive,819,19
word,plan,820,466
word,advertisers,821,49
word,ad,822,137
word,Washington,823,190
word,Post,824,7
word,second,825,251
word,offered,826,187
word,Plans,827,7
word,give,828,222
word,discounts,829,18
word,maintaining,830,16
word,increasing,831,99
word,spending,832,186
word,become,833,224
word,permanent,834,27
word,fixtures,835,2
word,news,836,215
word,weeklies,837,4
word,underscore,838,6
word,fierce,839,9
word,competition,840,112
word,between,841,458
word,Warner,842,176
word,Mortimer,843,3
word,B.,844,49
word,News,845,73
word,World,846,124
word,Alan,847,51
word,Spoon,848,3
word,full,849,154
word,page,850,19
word,cost,851,262
word,mid-October,852,17
word,lowered,853,41
word,guaranteed,854,28
word,circulation,855,22
word,base,856,96
word,not,857,1262
word,lower,858,367
word,effectively,859,26
word,per,860,94
word,subscriber,861,6
word,costs,862,338
word,"120,000",863,4
word,yet,864,173
word,announce,865,30
word,Circulation,866,2
word,Credit,867,60
word,Plan,868,11
word,awards,869,5
word,credits,870,29
word,renewal,871,6
word,reward,872,13
word,bonuses,873,18
word,meet,874,107
word,exceed,875,33
word,long,876,255
word,spent,877,85
word,attempt,878,96
word,shore,879,13
word,decline,880,198
word,pages,881,40
word,first,882,829
word,months,883,646
word,totaled,884,68
word,drop,885,203
word,Publishers,886,7
word,Information,887,22
word,Bureau,888,34
word,What,889,154
word,matters,890,40
word,what,891,562
word,paying,892,89
word,department,893,139
word,we,894,725
word,doing,895,124
word,fine,896,57
word,Both,897,100
word,gaining,898,12
word,without,899,246
word,heavy,900,110
word,use,901,351
word,electronic,902,63
word,giveaways,903,2
word,subscribers,904,17
word,telephones,905,4
word,watches,906,12
word,However,907,141
word,none,908,33
word,big,909,431
word,gains,910,163
word,According,911,88
word,largest,912,237
word,decrease,913,16
word,six,914,256
word,flat,915,72
word,Electric,916,72
word,System,917,46
word,bowed,918,5
word,bidding,919,65
word,Public,920,32
word,Service,921,95
word,Hampshire,922,42
word,saying,923,134
word,risks,924,69
word,too,925,307
word,potential,926,156
word,payoff,927,2
word,justify,928,13
word,offer,929,413
word,move,930,289
word,leaves,931,23
word,United,932,161
word,Illuminating,933,14
word,Northeast,934,29
word,Utilities,935,15
word,outside,936,109
word,bidders,937,23
word,PS,938,25
word,also,939,1399
word,proposed,940,202
word,internal,941,60
word,reorganization,942,65
word,Chapter,943,57
word,bankruptcy,944,70
word,proceedings,945,38
word,independent,946,108
word,Westborough,947,3
word,acquire,948,116
word,below,949,156
word,value,950,286
word,places,951,31
word,bid,952,352
word,says,953,1948
word,worth,954,95
word,Haven,955,10
word,Conn.,956,43
word,Hartford,957,15
word,Conn,958,14
word,Manchester,959,2
word,N.H.,960,7
word,values,961,57
word,John,962,236
word,Rowe,963,18
word,chief,964,510
word,officer,965,293
word,equity,966,146
word,suffer,967,28
word,forecasts,968,37
word,related,969,111
word,growth,970,359
word,electricity,971,18
word,demand,972,217
word,improved,973,67
word,operating,974,270
word,efficiencies,975,2
word,did,976,563
word,come,977,228
word,true,978,50
word,evaluated,979,3
word,raising,980,68
word,seemed,981,48
word,substantial,982,69
word,persistent,983,14
word,rewards,984,10
word,way,985,374
word,That,986,433
word,got,987,165
word,hard,988,131
word,take,989,392
word,added,990,320
word,noted,991,149
word,political,992,244
word,concerns,993,116
word,worried,994,45
word,matter,995,84
word,owns,996,115
word,emerges,997,8
word,attracts,998,6
word,...,999,184
word,just,1000,530
word,factors,1001,64
word,withdraw,1002,16
word,Wilbur,1003,3
word,Ross,1004,43
word,Jr.,1005,85
word,Rothschild,1006,24
word,financial,1007,438
word,adviser,1008,54
word,troubled,1009,56
word,holders,1010,147
word,withdrawal,1011,19
word,might,1012,331
word,speed,1013,52
word,fact,1014,151
word,increases,1015,135
word,against,1016,463
word,around,1017,245
word,complicated,1018,22
word,negotiations,1019,64
word,state,1020,486
word,asserted,1021,14
word,Now,1022,153
word,field,1023,77
word,less,1024,349
word,cluttered,1025,2
word,Separately,1026,58
word,Federal,1027,267
word,Regulatory,1028,6
word,Commission,1029,142
word,turned,1030,106
word,request,1031,55
word,seeking,1032,120
word,possible,1033,205
word,purchase,1034,200
word,hopes,1035,89
word,expedited,1036,2
word,review,1037,65
word,summer,1038,99
word,court,1039,285
word,shares,1040,1113
word,closed,1041,322
word,yesterday,1042,536
word,cents,1043,745
word,York,1044,888
word,Stock,1045,321
word,Exchange,1046,436
word,composite,1047,195
word,trading,1048,1018
word,Norman,1049,14
word,Toys,1050,4
word,R,1051,3
word,Frederick,1052,18
word,Banking,1053,34
word,directors,1054,126
word,consumer,1055,157
word,electronics,1056,48
word,appliances,1057,13
word,retailing,1058,38
word,chain,1059,70
word,They,1060,448
word,succeed,1061,41
word,Daniel,1062,34
word,M.,1063,57
word,retired,1064,29
word,Circuit,1065,19
word,City,1066,144
word,Robert,1067,195
word,R.,1068,81
word,Glauber,1069,2
word,undersecretary,1070,4
word,12-member,1071,2
word,Commonwealth,1072,25
word,Edison,1073,32
word,ordered,1074,51
word,refund,1075,17
word,illegal,1076,37
word,collected,1077,9
word,overruns,1078,7
word,nuclear,1079,48
word,power,1080,211
word,previously,1081,118
word,Illinois,1082,33
word,Commerce,1083,68
word,groups,1084,130
word,ever,1085,113
word,required,1086,108
word,local,1087,165
word,utility,1088,41
word,State,1089,121
word,Judge,1090,111
word,Richard,1091,118
word,Curry,1092,8
word,refunds,1093,11
word,each,1094,355
word,customers,1095,184
word,received,1096,181
word,electric,1097,26
word,April,1098,111
word,moved,1099,77
word,begin,1100,117
word,Feb.,1101,20
word,appeals,1102,40
word,attempts,1103,24
word,his,1104,1547
word,order,1105,182
word,pool,1106,21
word,hostage,1107,2
word,through,1108,558
word,round,1109,26
word,already,1110,291
word,appealing,1111,7
word,underlying,1112,42
word,commission,1113,55
word,considering,1114,68
word,exact,1115,17
word,amount,1116,190
word,determined,1117,47
word,actual,1118,84
word,collections,1119,4
word,Dec.,1120,112
word,ruling,1121,74
word,slash,1122,12
word,earnings,1123,566
word,spokesman,1124,309
word,tracking,1125,11
word,whose,1126,166
word,addresses,1127,5
word,changed,1128,99
word,past,1129,386
word,1\/2,1130,265
word,administrative,1131,39
word,nightmare,1132,6
word,Byron,1133,4
word,near,1134,106
word,Rockford,1135,5
word,Ill.,1136,27
word,disputed,1137,13
word,pay,1138,359
word,courts,1139,38
word,upheld,1140,11
word,challenge,1141,41
word,Supreme,1142,79
word,Court,1143,126
word,audit,1144,25
word,construction,1145,158
word,expenses,1146,83
word,unreasonable,1147,5
word,collecting,1148,9
word,subject,1149,105
word,ruled,1150,34
word,plus,1151,51
word,additional,1152,164
word,calculations,1153,16
word,Last,1154,151
word,month,1155,500
word,set,1156,247
word,faces,1157,52
word,court-ordered,1158,2
word,differential,1159,3
word,Appellate,1160,2
word,estimated,1161,195
word,hope,1162,83
word,precedent,1163,10
word,case,1164,308
word,involving,1165,63
word,Braidwood,1166,3
word,rule,1167,81
word,poor,1168,57
word,performance,1169,122
word,LaSalle,1170,3
word,I,1171,1188
word,Japan,1172,430
word,domestic,1173,134
word,trucks,1174,57
word,units,1175,163
word,record,1176,221
word,Automobile,1177,7
word,Dealers,1178,44
word,strong,1179,224
word,year-to-year,1180,6
word,September,1181,309
word,setting,1182,38
word,records,1183,33
word,every,1184,170
word,March,1185,155
word,compared,1186,254
word,previous,1187,172
word,inched,1188,10
word,Sales,1189,142
word,passenger,1190,17
word,medium-sized,1191,12
word,benefited,1192,18
word,price,1193,655
word,reductions,1194,24
word,arising,1195,4
word,introduction,1196,19
word,consumption,1197,33
word,tax,1198,369
word,doubled,1199,30
word,Texas,1200,204
word,Instruments,1201,10
word,opened,1202,76
word,manufacture,1203,14
word,control,1204,212
word,devices,1205,46
word,located,1206,19
word,miles,1207,61
word,Seoul,1208,16
word,help,1209,288
word,diversifying,1210,7
word,produce,1211,104
word,motor,1212,16
word,vehicles,1213,54
word,household,1214,36
word,survival,1215,14
word,spinoff,1216,21
word,Cray,1217,65
word,Computer,1218,80
word,fledgling,1219,10
word,supercomputer,1220,18
word,business,1221,858
word,depend,1222,11
word,creativity,1223,11
word,designer,1224,15
word,Seymour,1225,7
word,development,1226,158
word,initial,1227,87
word,machine,1228,90
word,tied,1229,39
word,directly,1230,95
word,balance,1231,53
word,sheet,1232,28
word,Documents,1233,2
word,filed,1234,191
word,Securities,1235,252
word,pending,1236,60
word,disclosed,1237,116
word,Research,1238,79
word,financing,1239,160
word,providing,1240,43
word,firm,1241,430
word,project,1242,118
word,heads,1243,34
word,scrapped,1244,9
word,documents,1245,54
word,although,1246,125
word,64-year-old,1247,2
word,working,1248,136
word,Cray-3,1249,10
word,least,1250,316
word,fully,1251,74
word,operational,1252,10
word,prototype,1253,6
word,Moreover,1254,79
word,there,1255,680
word,orders,1256,221
word,several,1257,330
word,prospects,1258,41
word,While,1259,198
word,many,1260,720
word,anticipated,1261,34
word,Minneapolis-based,1262,4
word,May,1263,94
word,strings,1264,3
word,attached,1265,24
word,public,1266,305
word,much,1267,642
word,choice,1268,39
word,Gregory,1269,4
word,Barnum,1270,3
word,interview,1271,76
word,theory,1272,32
word,him,1273,281
word,want,1274,269
word,include,1275,186
word,anticipates,1276,14
word,needing,1277,4
word,perhaps,1278,69
word,beginning,1279,104
word,called,1280,261
word,scenario,1281,20
word,filing,1282,95
word,details,1283,58
word,stock,1284,1103
word,jump,1285,34
word,close,1286,290
word,Analysts,1287,103
word,link,1288,26
word,note,1289,96
word,presence,1290,40
word,complicate,1291,5
word,valuation,1292,8
word,investor,1293,171
word,Gary,1294,23
word,P.,1295,28
word,Smaby,1296,2
word,Group,1297,246
word,Minneapolis,1298,25
word,concept,1299,29
word,You,1300,151
word,either,1301,133
word,believe,1302,157
word,do,1303,899
word,Besides,1304,23
word,age,1305,91
word,tricky,1306,7
word,chip,1307,43
word,technology,1308,142
word,SEC,1309,86
word,describe,1310,12
word,chips,1311,61
word,being,1312,401
word,fragile,1313,9
word,minute,1314,18
word,require,1315,82
word,robotic,1316,2
word,handling,1317,32
word,equipment,1318,150
word,addition,1319,197
word,contain,1320,19
word,processors,1321,8
word,twice,1322,47
word,face,1323,145
word,intense,1324,26
word,world-wide,1325,60
word,roll,1326,34
word,direct,1327,77
word,competitor,1328,18
word,compete,1329,30
word,Business,1330,107
word,Machines,1331,46
word,Big,1332,220
word,Three,1333,47
word,Hitachi,1334,18
word,NEC,1335,35
word,Fujitsu,1336,34
word,Ltd,1337,66
word,believes,1338,91
word,fewer,1339,52
word,supercomputers,1340,5
word,priced,1341,213
word,presumably,1342,5
word,range,1343,116
word,terms,1344,158
word,stockholders,1345,14
word,receive,1346,106
word,own,1347,440
word,distribution,1348,53
word,occur,1349,25
word,weeks,1350,226
word,Instead,1351,59
word,companies,1352,790
word,leave,1353,76
word,marketplace,1354,26
word,decide,1355,50
word,applied,1356,25
word,Nasdaq,1357,65
word,calculate,1358,4
word,book,1359,64
word,Along,1360,13
word,transferring,1361,4
word,assets,1362,304
word,primarily,1363,56
word,drain,1364,14
word,sheets,1365,14
word,clearly,1366,51
word,why,1367,87
word,favored,1368,16
word,Without,1369,29
word,able,1370,179
word,report,1371,307
word,profit,1372,413
word,half,1373,249
word,rather,1374,137
word,posted,1375,130
word,hand,1376,97
word,existed,1377,7
word,incurred,1378,18
word,loss,1379,347
word,comment,1380,207
word,Colorado,1381,23
word,Colo.,1382,14
word,contractor,1383,24
word,arrangement,1384,30
word,father,1385,28
word,paid,1386,198
word,"600,000",1387,7
word,At,1388,317
word,"240,000",1389,3
word,Messrs.,1390,31
word,includes,1391,114
word,Neil,1392,8
word,Joseph,1393,45
word,Blanchard,1394,3
word,Malcolm,1395,29
word,software,1396,85
word,Douglas,1397,36
word,hardware,1398,20
word,All,1399,110
word,came,1400,182
word,Stevens,1401,14
word,both,1402,362
word,positions,1403,65
word,Donald,1404,34
word,electric-utility,1405,2
word,Arthur,1406,31
word,Hatch,1407,6
word,Eastern,1408,105
word,Carney,1409,2
word,claiming,1410,19
word,success,1411,60
word,diplomacy,1412,4
word,removed,1413,17
word,Taiwan,1414,30
word,Saudi,1415,20
word,Arabia,1416,11
word,list,1417,66
word,watching,1418,29
word,allegedly,1419,24
word,failing,1420,23
word,patents,1421,13
word,copyrights,1422,3
word,intellectual-property,1423,5
word,rights,1424,168
word,China,1425,167
word,Thailand,1426,6
word,India,1427,26
word,Brazil,1428,31
word,Mexico,1429,68
word,so-called,1430,65
word,priority,1431,30
word,result,1432,229
word,interim,1433,14
word,Representative,1434,6
word,Carla,1435,5
word,Hills,1436,37
word,law,1437,297
