,word,",",DT,.,IN,TO,CC,POS,$,VBZ,``,'',VBD,NN,PRP,CD,NNP,VBP,VB,PRP$,RB,MD,WDT,:,WP,VBN,JJ,NNS,-RRB-,-LRB-,JJR,WRB,RP,RBR,EX,VBG,JJS,RBS,WP$,PDT,NNPS,#,FW,SYM,LS,UH
94,up,,,,250.0,,,,,,,,,,,,,,,,523.0,,,,,,1.0,,,,,,851.0,,,,,,,,,,,,,
95,A,,821.0,,,,,,,,,,,8.0,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,all,,821.0,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,158.0,,,,,,
97,He,,,,,,,,,,,,,,813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,sales,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,796.0,,,,,,,,,,,,,,,,,,
99,companies,,,,,,,,,,,,,,,,,,,,,,,,,,,790.0,,,,,,,,,,,,,,,,,,
100,such,,,,,,,,,,,,,,,,,,,,,,,,,,787.0,,,,,,,,,,,,,73.0,,,,,,
101,if,,,,786.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
102,government,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,may,,,,,,,,,,,,,,,,,,,,,772.0,,,,,,,,,,,,,,,,,,,,,,,,
104,cents,,,,,,,,,,,,,,,,,,,,,,,,,,,745.0,,,,,,,,,,,,,,,,,,
105,only,,,,,,,,,,,,,,,,,,,,739.0,,,,,,158.0,,,,,,,,,,,,,,,,,,,
106,first,,,,,,,,,,,,,1.0,,,,,,,88.0,,,,,,738.0,,,,,,,,,,1.0,,,,,,,,1.0,
107,we,,,,,,,,,,,,,,724.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,any,,720.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
109,many,,11.0,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,702.0,,,,,,,,,,,,,1.0,,,,,,
110,time,,,,,,,,,,,,,701.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,over,,,,692.0,,,,,,,,,,,,,,,,39.0,,,,,,5.0,,,,,,108.0,,,,,,,,,,,,,
112,quarter,,,,,,,,,,,,,682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,prices,,,,,,,,,,,,,,,,,,,,,,,,,,,677.0,,,,,,,,,,,,,,,,,,
114,people,,,,,,,,,,,,,,,,,,,,,,,,,,,662.0,,,,,,,,,,,,,,,,,,
115,now,,,,,,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,,,,,,,,,,,,
116,week,,,,,,,,,,,,,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,them,,1.0,,,,,,,,,,,,649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,price,,,,,,,,,,,,,647.0,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,months,,,,,,,,,,,,,,,,,,,,,,,,,,,646.0,,,,,,,,,,,,,,,,,,
120,rose,,,,,,,,,,,,633.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,interest,,,,,,,,,,,,,608.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,group,,,,,,,,,,,,,603.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,investors,,,,,,,,,,,,,,,,,,,,,,,,,,,601.0,,,,,,,,,,,,,,,,,,
124,do,,,,,,,,,,,,,,,,,597.0,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,596.0,,,,,,,,,,,,,,,,,,
126,',,,,,,,590.0,,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1,,,,,,,,,,,,,,,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
128,no,,578.0,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0
129,even,,,,,,,,,,,,,,,,,,4.0,,574.0,,,,,,11.0,,,,,,1.0,,,,,,,,,,,,,
130,did,,,,,,,,,,,,563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,earnings,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,562.0,,,,,,,,,,,,,,,,,,
132,you,,,,,,,,,,,,,,561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,three,,,,,,,,,,,,,,,558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,out,,,,324.0,,,,,,,,,1.0,,,,,,,97.0,,,,,,5.0,,,,,,542.0,,,,,,,,,,,,,
135,there,,,,,,,,,,,,,,,,,,,,139.0,,,,,,,,,,,,,,541.0,,,,,,,,,,,
136,We,,,,,,,,,,,,,,538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,what,,,,,,,,,,,,,,,,,,,,,,27.0,,535.0,,,,,,,,,,,,,,,,,,,,,
138,program,,,,,,,,,,,,,533.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,through,,,,528.0,,,,,,,,,,,,,,,,14.0,,,,,,1.0,,,,,,15.0,,,,,,,,,,,,,
140,yesterday,,,,,,,,,,,,,526.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
141,major,,,,,,,,,,,,,4.0,,,,,,,,,,,,,526.0,,,,,,,,,,,,,,,,,,,
142,under,,,,525.0,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,
143,industry,,,,,,,,,,,,,524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,just,,,,,,,,,,,,,,,,,,,,523.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,
145,stocks,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,519.0,,,,,,,,,,,,,,,,,,
146,And,,,,,,518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,say,,,,,,,,,,,,,3.0,,,1.0,518.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
148,10,,,,,,,,,,,,,,,517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,make,,,,,,,,,,,,,1.0,,,,85.0,506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,investment,,,,,,,,,,,,,502.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
151,money,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,month,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,rate,,,,,,,,,,,,,497.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,so,,,,110.0,,5.0,,,,,,,,,,,,,,496.0,,,,,,,,,,,,,,,,,,,,,,,,,
155,unit,,,,,,,,,,,,,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,next,,,,76.0,,,,,,,,,,,,,,,,7.0,,,,,,493.0,,,,,,,,,,,,,,,,,,,
157,does,,,,,,,,,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,days,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,486.0,,,,,,,,,,,,,,,,,,
159,those,,484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,federal,,,,,,,,,,,,,,,,,,,,,,,,,,483.0,,,,,,,,,,,,,,,,,,,
161,state,,,,,,,,,,,,,480.0,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,officials,,,,,,,,,,,,,,,,,,,,,,,,,,,479.0,,,,,,,,,,,,,,,,,,
163,30,,,,,,,,,,,,,,,473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,against,,,,463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,between,,,,458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,rates,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,449.0,,,,,,,,,,,,,,,,,,
167,recent,,,,,,,,,,,,,,,,,,,,,,,,,,448.0,,,,,,,,,,,,,,,,,,,
168,They,,,,,,,,,,,,,,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,still,,,,,,,,,,,,,,,,,,,,446.0,,,,,,,,,,,,,,,,,,,,,,,,,
170,For,,,,441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,since,,,,440.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
172,financial,,,,,,,,,,,,,,,,,,,,,,,,,,438.0,,,,,,,,,,,,,,,,,,,
173,while,,,,434.0,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Exchange,,,,,,,,,,,,,3.0,,,433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,big,,,,,,,,,,,,,,,,,,,,,,,,,,431.0,,,,,,,,,,,,,,,,,,,
176,she,,,,,,,,,,,,,,431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Japan,,,,,,,,,,,,,,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,chairman,,,,,,,,,,,,,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,before,,,,429.0,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
180,income,,,,,,,,,,,,,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,these,,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,expected,,,,,,,,,,,,44.0,,,,,,,,,,,,,424.0,32.0,,,,,,,,,,,,,,,,,,,
183,funds,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,424.0,,,,,,,,,,,,,,,,,,
184,Japanese,,,,,,,,,,,,,3.0,,,35.0,,,,,,,,,,419.0,18.0,,,,,,,,,,,,,36.0,,,,,
185,plan,,,,,,,,,,,,,418.0,,,,35.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,issue,,,,,,,,,,,,,415.0,,,,2.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,debt,,,,,,,,,,,,,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,part,,,,,,,,,,,,,408.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,should,,,,,,,,,,,,,,,,,,,,,405.0,,,,,,,,,,,,,,,,,,,,,,,,
190,including,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.0,,,,,,,,,,
191,bank,,,,,,,,,,,,,403.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,products,,,,,,,,,,,,,,,,,,,,,,,,,,,401.0,,,,,,,,,,,,,,,,,,
193,15,,,,,,,,,,,,,,,400.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
194,analysts,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,
195,well,,,,,,,,,,,,,8.0,,,,,,,398.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
196,securities,,,,,,,,,,,,,,,,,,,,,,,,,,,398.0,,,,,,,,,,,,,,,,,,
197,That,,397.0,,23.0,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,
198,profit,,,,,,,,,,,,,397.0,,,,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,firm,,,,,,,,,,,,,396.0,,,,,1.0,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,
200,fell,,,,,,,,,,,,393.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
201,being,,,,,,,,,,,,,7.0,,,,,,,,,,,,,2.0,,,,,,,,,392.0,,,,,,,,,,
202,most,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,383.0,382.0,,,,,,,,
203,1988,,,,,,,,,,,,,,,383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,This,,382.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,sell,,,,,,,,,,,,,21.0,,,,40.0,382.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
206,If,,,,382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,net,,,,,,,,,,,,,133.0,,,,,1.0,,,,,,,,380.0,,,,,,,,,,,,,,,,,,,
208,buy,,,,,,,,,,,,,30.0,,,,41.0,379.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,
209,like,,,,376.0,,,,,,,,,,,,,22.0,55.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,
210,own,,,,,,,,,,,,,,,,,22.0,41.0,,,,,,,1.0,376.0,,,,,,,,,,,,,,,,,,,
211,get,,,,,,,,,,,,,,,,,63.0,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,8,,,,,,,,,,,,,,,373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,House,,,,,,,,,,,,,3.0,,,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,operations,,,,,,,,,,,,,,,,,,,,,,,,,,,371.0,,,,,,,,,,,,,,,,,,
215,way,,,,,,,,,,,,,370.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
216,tax,,,,,,,,,,,,,367.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,?,,,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,sale,,,,,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,during,,,,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,growth,,,,,,,,,,,,,358.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,higher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0,,,50.0,,,,,,,,,,,,
222,each,,355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,markets,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,355.0,,,,,,,,,,,,,,,,,,
224,take,,,,,,,,,,,,,1.0,,,,39.0,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,much,,,,,,,,,,,,,,,,,,,,291.0,,,,,,351.0,,,,,,,,,,,,,,,,,,,
226,Bank,,,,,,,,,,,,,2.0,,,349.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,common,,,,,,,,,,,,,15.0,,,,,,,,,,,,,347.0,,,,,,,,,,,,,,,,,,,
228,loss,,,,,,,,,,,,,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,American,,,,,,,,,,,,,1.0,,,347.0,,,,,,,,,,228.0,,,,,,,,,,,,,,,,,,,
230,where,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0,,,,,,,,,,,,,,
231,how,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,,,,,,,,,,,,,,
232,another,,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,banks,,,,,,,,,,,,,,,,,,,,,,,,,,,344.0,,,,,,,,,,,,,,,,,,
234,economic,,,,,,,,,,,,,,,,,,,,,,,,,,343.0,,,,,,,,,,,,,,,,,,,
235,50,,,,,,,,,,,,,,,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,five,,,,,,,,,,,,,,,339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,few,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,,,,,,,,,,,,,,,,,,,
238,vice,,,,,,,,,,,,,339.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
239,cash,,,,,,,,,,,,,338.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,our,,,,,,,,,,,,,,,,,,,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,
241,very,,,,,,,,,,,,,,,,,,,,334.0,,,,,,21.0,,,,,,,,,,,,,,,,,,,
242,executive,,,,,,,,,,,,,334.0,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,,,
243,Bush,,,,,,,,,,,,,,,,334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,'re,,,,,,,,,,,,,,,,,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
